"id","country","name","sex","age","president","start_president","end_president","ministry","start_minister","end_minister","non_party","president_party","economist","lawyer","inner_circle","party_leader","exp_executive","exp_congress","exp_ngo","exp_thinktanks","exp_business","political_kinship"
1,"Chile","Abeliuk Manasevic, René","man",59,"Patricio Aylwin",1990-03-11,1994-03-11,"CORFO",1990-03-11,1994-03-11,0,0,0,1,0,0,0,0,0,0,0,0
2,"Chile","Albornoz Pollman, Laura","woman",37,"Michelle Bachelet",2006-03-11,2010-03-11,"SERNAM",2006-03-11,2009-10-19,0,0,0,1,0,0,1,0,0,0,0,0
3,"Chile","Allamand Zavala, Andrés","man",54,"Sebastián Piñera",2010-03-11,2014-03-11,"Defensa Nacional",2011-01-16,2012-11-05,0,1,0,1,0,1,0,1,1,1,0,1
4,"Chile","Alvarado Constenla, Luis","man",49,"Patricio Aylwin",1990-03-11,1994-03-11,"Bienes Nacionales",1990-03-11,1994-03-11,0,0,0,0,0,1,0,0,0,0,0,0
5,"Chile","Alvear Valenzuela, Soledad","woman",40,"Patricio Aylwin",1990-03-11,1994-03-11,"SERNAM",1991-01-03,1994-03-11,0,1,0,1,1,0,1,0,0,0,0,1
6,"Chile","Alvear Valenzuela, Soledad","woman",49,"Ricardo Lagos",2000-03-11,2006-03-11,"Relaciones Exteriores",2000-03-11,2004-09-29,0,0,0,1,0,0,1,0,0,0,0,1
7,"Chile","Alvear Valenzuela, Soledad","woman",43,"Eduardo Frei",1994-03-11,2000-03-11,"Justicia",1994-03-11,1999-12-16,0,1,0,1,1,0,1,0,0,0,0,1
8,"Chile","Ampuero Espinoza, Roberto","man",57,"Sebastián Piñera",2010-03-11,2014-03-11,"Consejo Nacional de la Cultura y las Artes",2013-06-09,2014-03-11,1,0,0,0,1,0,0,0,0,0,0,0
9,"Chile","Andrade Lara , Carmen","woman",55,"Michelle Bachelet",2006-03-11,2010-03-11,"SERNAM",2009-10-20,2010-03-11,0,1,0,0,1,0,0,0,0,0,0,1
10,"Chile","Andrade Lara , Osvaldo","man",52,"Michelle Bachelet",2006-03-11,2010-03-11,"Trabajo y Previsión Social",2006-03-11,2008-12-10,0,1,0,1,1,1,1,0,0,0,0,1
11,"Chile","Aninat Ureta, Eduardo","man",46,"Eduardo Frei",1994-03-11,2000-03-11,"Hacienda",1994-03-11,1999-12-03,0,1,1,0,0,0,0,0,1,1,0,0
12,"Chile","Antonijevic Hahn, Ingrid","woman",53,"Michelle Bachelet",2006-03-11,2010-03-11,"Economía, Fomento y Reconstrucción",2006-03-11,2006-07-14,0,0,1,0,1,0,1,0,0,0,1,0
13,"Chile","Arellano Marín, José Pablo","man",44,"Eduardo Frei",1994-03-11,2000-03-11,"Educación",1996-09-28,2000-03-11,0,1,1,0,1,0,1,0,1,1,0,1
14,"Chile","Armanet Armanet, Pilar","woman",59,"Michelle Bachelet",2006-03-11,2010-03-11,"SEGEGOB",2009-12-18,2010-03-11,0,0,0,1,0,0,1,0,0,0,0,0
15,"Chile","Arrate Mac Niven, Jorge","man",51,"Patricio Aylwin",1990-03-11,1994-03-11,"Educación",1992-09-28,1994-03-11,0,0,0,1,0,1,1,0,1,1,0,0
16,"Chile","Arrate Mac Niven, Jorge","man",57,"Eduardo Frei",1994-03-11,2000-03-11,"SEGEGOB",1998-08-01,1999-06-22,0,0,0,1,0,1,1,0,1,1,0,0
17,"Chile","Arrate Mac Niven, Jorge","man",52,"Eduardo Frei",1994-03-11,2000-03-11,"Trabajo y Previsión Social",1994-03-11,1998-08-01,0,0,0,1,0,1,1,0,1,1,0,0
18,"Chile","Arriagada Herrera, Genaro","man",51,"Eduardo Frei",1994-03-11,2000-03-11,"SEGPRES",1994-03-11,1996-09-28,0,1,0,1,1,1,0,0,1,1,0,0
19,"Chile","Artaza Barrios, Osvaldo","man",46,"Ricardo Lagos",2000-03-11,2006-03-11,"Salud",2002-01-07,2003-03-03,0,0,0,0,0,0,0,0,1,1,0,0
